original_user_id,mapped_user_id
375829,1136
322192,1137
358098,1138
313057,1139
294334,1140
292386,1141
279355,1142
283143,1143
270990,1144
270795,1145
239405,1146
259871,1147
257568,1148
252039,1149
221329,1150
210379,1151
194345,1152
200521,1153
195388,1154
184397,1155
186146,1156
104196,1157
19344,1158
147990,1159
148293,1160
146283,1161
143822,1162
142682,1163
140901,1164
142066,1165
135900,1166
140113,1167
1514,1168
129815,1169
138936,1170
138908,1171
138788,1172
138363,1173
136855,1174
136411,1175
133262,1176
136034,1177
135676,1178
128741,1179
134766,1180
133195,1181
133498,1182
121679,1183
133022,1184
132456,1185
132333,1186
130466,1187
130320,1188
127393,1189
129235,1190
128254,1191
124016,1192
128195,1193
128104,1194
127861,1195
98611,1196
125780,1197
125424,1198
124811,1199
124307,1200
124158,1201
123510,1202
123449,1203
121794,1204
120200,1205
119754,1206
119527,1207
119506,1208
119471,1209
114354,1210
118165,1211
67845,1212
79999,1213
113928,1214
113677,1215
113550,1216
87753,1217
113291,1218
112373,1219
94540,1220
109411,1221
106956,1222
107336,1223
107028,1224
43426,1225
104381,1226
106426,1227
89115,1228
104957,1229
105213,1230
104633,1231
68286,1232
39970,1233
103771,1234
27906,1235
103364,1236
30497,1237
97870,1238
101849,1239
100611,1240
102002,1241
335090,1242
152070,1243
1871076,1244
162580,1245
118379,1246
101090,1247
100959,1248
62455,1249
100482,1250
93838,1251
9994970,1252
203291,1253
8396482,1254
5906475,1255
124903,1256
100420,1257
100338,1258
7390905,1259
7712492,1260
7245809,1261
288697,1262
115855,1263
1951178,1264
527230,1265
420889,1266
243201,1267
226832,1268
214828,1269
16268,1270
174470,1271
85107,1272
177859,1273
164544,1274
163397,1275
72409,1276
160843,1277
156444,1278
157333,1279
157613,1280
95522,1281
716160,1282
313751,1283
268722,1284
266488,1285
198442,1286
230439,1287
221564,1288
207747,1289
174909,1290
181804,1291
205599,1292
178701,1293
167928,1294
57718,1295
126274,1296
92787,1297
95322,1298
64328,1299
741186,1300
606096,1301
277343,1302
110944,1303
10720892,1304
10453346,1305
8271413,1306
7245810,1307
7030760,1308
561128,1309
201230,1310
414254,1311
334552,1312
155484,1313
119200,1314
110080,1315
49974,1316
28627,1317
152308,1318
136219,1319
124615,1320
106154,1321
105968,1322
91989,1323
80651,1324
101105,1325
84287,1326
60151,1327
92232,1328
51251,1329
101208,1330
5970498,1331
153990,1332
1812993,1333
7990601,1334
737242,1335
404894,1336
128708,1337
103800,1338
81476,1339
7165557,1340
7245811,1341
6689442,1342
2005033,1343
1359286,1344
214297,1345
